Core Project Number,Affilation,Authors ,	Country,	ISSN,Journal Issue,Journal (Link to PubMed abstract) ,Journal Title ABBR,Journal Volume,Language,Page Number,PMC ID,PMID,PUB Date,Title (Link to full-text in PubMed Central) ,PUB Year,Related Publications in PubMed,Related Publications in Google Scholar,Articles Citing from PubMed Central,Articles Citing from Google Scholar,Clinical Trials cited
U01DA040612,"Division of Biology and Biological Engineering, California Institute of Technology, Pasadena, CA 91125, USA.","Quinodoz, Sofia A; Ollikainen, Noah; Tabak, Barbara; Palla, Ali; Schmidt, Jan Marten; Detmar, Elizabeth; Lai, Mason M; Shishkin, Alexander A; Bhat, Prashant; Takei, Yodai; Trinh, Vickie; Aznauryan, Erik; Russell, Pamela; Cheng, Christine; Jovanovic, Marko; Chow, Amy; Cai, Long; McDonel, Patrick; Garber, Manuel; Guttman, Mitchell","United States",1097-4172,"3","Cell.","Cell",174,eng,"744-757.e24",,29887377,2018 Jul 26;,"Higher-Order Inter-chromosomal Hubs Shape 3D Genome Organization in the Nucleus.",2018,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=29887377&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/29887377' target='_blank'>Related, Google Scholar</a>",," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/29887377' target='_blank'>Cited By, Google</a>",
U01HL130007,"Division of Biology and Biological Engineering, California Institute of Technology, Pasadena, CA 91125, USA.","Quinodoz, Sofia A; Ollikainen, Noah; Tabak, Barbara; Palla, Ali; Schmidt, Jan Marten; Detmar, Elizabeth; Lai, Mason M; Shishkin, Alexander A; Bhat, Prashant; Takei, Yodai; Trinh, Vickie; Aznauryan, Erik; Russell, Pamela; Cheng, Christine; Jovanovic, Marko; Chow, Amy; Cai, Long; McDonel, Patrick; Garber, Manuel; Guttman, Mitchell","United States",1097-4172,"3","Cell.","Cell",174,eng,"744-757.e24",,29887377,2018 Jul 26;,"Higher-Order Inter-chromosomal Hubs Shape 3D Genome Organization in the Nucleus.",2018,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=29887377&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/29887377' target='_blank'>Related, Google Scholar</a>",," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/29887377' target='_blank'>Cited By, Google</a>",
U01EB021240,"Division of Biology and Biological Engineering, Caltech, Pasadena, CA 91125, USA; UCLA-Caltech Medical Scientist Training Program, David Geffen School of Medicine, University of California, Los Angeles, Los Angeles, CA 90095, USA.","Shah, Sheel; Takei, Yodai; Zhou, Wen; Lubeck, Eric; Yun, Jina; Eng, Chee-Huat Linus; Koulena, Noushin; Cronin, Christopher; Karp, Christoph; Liaw, Eric J; Amin, Mina; Cai, Long","United States",1097-4172,"2","Cell.","Cell",174,eng,"363-376.e16",6046268,29887381,2018 Jul 12;,"Dynamics and Spatial Genomics of the Nascent Transcriptome by Intron seqFISH.",2018,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=29887381&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/29887381' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=6046268&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/29887381' target='_blank'>Cited By, Google</a>",
U54DK107980,"","Kundu, Sharmistha; Ji, Fei; Sunwoo, Hongjae; Jain, Gaurav; Lee, Jeannie T; Sadreyev, Ruslan I; Dekker, Job; Kingston, Robert E","United States",1097-4164,"1","Molecular cell.","Mol Cell",71,eng,"191",6261330,29979966,2018 Jul 05;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6261330/' target='_blank'>Polycomb Repressive Complex 1 Generates Discrete Compacted Domains that Change during Differentiation.</a>",2018,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=29979966&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/29979966' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=6261330&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/29979966' target='_blank'>Cited By, Google</a>",
U01EB021223,"Cell Biology and Biophysics Unit, European Molecular Biology Laboratory, Heidelberg, Germany.","Walther, Nike; Hossain, M Julius; Politi, Antonio Z; Koch, Birgit; Kueblbeck, Moritz; Ødegård-Fougner, Øyvind; Lampe, Marko; Ellenberg, Jan","United States",1540-8140,"7","The Journal of cell biology.","J Cell Biol",217,eng,"2309-2328",6028534,29632028,2018 Jul 02;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6028534/' target='_blank'>A quantitative map of human Condensins provides new insights into mitotic chromosome architecture.</a>",2018,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=29632028&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/29632028' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=6028534&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/29632028' target='_blank'>Cited By, Google</a>",
U54DK107965,"Computational Biology Department, School of Computer Science, Carnegie Mellon University, Pittsburgh, PA, USA.","Zhang, Ruochi; Wang, Yuchuan; Yang, Yang; Zhang, Yang; Ma, Jian","England",1367-4811,"13","Bioinformatics (Oxford, England).","Bioinformatics",34,eng,"i133-i141",6022626,29949986,2018 Jul 01;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6022626/' target='_blank'>Predicting CTCF-mediated chromatin loops using CTCF-MP.</a>",2018,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=29949986&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/29949986' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=6022626&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/29949986' target='_blank'>Cited By, Google</a>",
U01HL129998,"Department of Statistics, The Wharton School, University of Pennsylvania, Philadelphia, PA, USA.","Huang, Mo; Wang, Jingshu; Torre, Eduardo; Dueck, Hannah; Shaffer, Sydney; Bonasio, Roberto; Murray, John I; Raj, Arjun; Li, Mingyao; Zhang, Nancy R","United States",1548-7105,"7","Nature methods.","Nat Methods",15,eng,"539-542",6030502,29941873,2018 Jul;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6030502/' target='_blank'>SAVER: gene expression recovery for single-cell RNA sequencing.</a>",2018,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=29941873&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/29941873' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=6030502&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/29941873' target='_blank'>Cited By, Google</a>",
U01EB021236,"Department of Molecular and Cell Biology, Li Ka Shing Center for Biomedical and Health Sciences, CIRM Center of Excellence, University of California, Berkeley, Berkeley, United States.","Hansen, Anders S; Woringer, Maxime; Grimm, Jonathan B; Lavis, Luke D; Tjian, Robert; Darzacq, Xavier","England",2050-084X,"","eLife.","Elife",7,eng,"",5809147,29300163,2018 Jan 04;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5809147/' target='_blank'>Robust model-based analysis of single-particle tracking experiments with Spot-On.</a>",2018,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=29300163&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/29300163' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5809147&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/29300163' target='_blank'>Cited By, Google</a>",
U54DK107980,"Department of Molecular and Cell Biology, Li Ka Shing Center for Biomedical and Health Sciences, CIRM Center of Excellence, University of California, Berkeley, Berkeley, United States.","Hansen, Anders S; Woringer, Maxime; Grimm, Jonathan B; Lavis, Luke D; Tjian, Robert; Darzacq, Xavier","England",2050-084X,"","eLife.","Elife",7,eng,"",5809147,29300163,2018 Jan 04;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5809147/' target='_blank'>Robust model-based analysis of single-particle tracking experiments with Spot-On.</a>",2018,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=29300163&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/29300163' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5809147&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/29300163' target='_blank'>Cited By, Google</a>",
U01CA200059,"","Lekschas, Fritz; Bach, Benjamin; Kerpedjiev, Peter; Gehlenborg, Nils; Pfister, Hanspeter","United States",1941-0506,"1","IEEE transactions on visualization and computer graphics.","IEEE Trans Vis Comput Graph",24,eng,"522-531",6038708,28866592,2018 Jan;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6038708/' target='_blank'>HiPiler: Visual Exploration of Large Genome Interaction Matrices with Interactive Small Multiples.</a>",2018,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=28866592&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/28866592' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=6038708&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/28866592' target='_blank'>Cited By, Google</a>",
U01CA200060,"European Molecular Biology Laboratory European Bioinformatics Institute Wellcome Genome Campus, Hinxton, Cambridge CB10 1SD, UK.","Sundaram, Vasavi; Wang, Ting","United States",1521-1878,"1","BioEssays : news and reviews in molecular, cellular and developmental biology.","Bioessays",40,eng,"",5912915,29206283,2018 Jan;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5912915/' target='_blank'>Transposable Element Mediated Innovation in Gene Regulatory Landscapes of Cells: Re-Visiting the ''Gene-Battery'' Model.</a>",2018,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=29206283&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/29206283' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5912915&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/29206283' target='_blank'>Cited By, Google</a>",
U54DK107965,"Molecular Biology Division, Biomedical Center, Faculty of Medicine, Ludwig-Maximilian University Munich, Planegg-Martinsried, Germany.","Scacchetti, Alessandro; Brueckner, Laura; Jain, Dhawal; Schauer, Tamas; Zhang, Xu; Schnorrer, Frank; van Steensel, Bas; Straub, Tobias; Becker, Peter B","United States",2575-1077,"1","Life science alliance.","Life Sci Alliance",1,eng,"e201800024",6238394,30456345,2018 Jan;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6238394/' target='_blank'>CHRAC/ACF contribute to the repressive ground state of chromatin.</a>",2018,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=30456345&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/30456345' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=6238394&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/30456345' target='_blank'>Cited By, Google</a>",
U01HL130010,"School of Medicine, University of California San Diego, La Jolla, CA 92093, USA; Broad Institute of MIT and Harvard, Cambridge, MA 02142, USA.","Robinson, James T; Turner, Douglass; Durand, Neva C; Thorvaldsdóttir, Helga; Mesirov, Jill P; Aiden, Erez Lieberman","United States",2405-4712,"2","Cell systems.","Cell Syst",6,eng,"256-258.e1",6047755,29428417,2018 Feb 28;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6047755/' target='_blank'>Juicebox.js Provides a Cloud-Based Visualization System for Hi-C Data.</a>",2018,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=29428417&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/29428417' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=6047755&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/29428417' target='_blank'>Cited By, Google</a>",
U01HL129998,"Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, USA.","Torre, Eduardo; Dueck, Hannah; Shaffer, Sydney; Gospocic, Janko; Gupte, Rohit; Bonasio, Roberto; Kim, Junhyong; Murray, John; Raj, Arjun","United States",2405-4712,"2","Cell systems.","Cell Syst",6,eng,"171-179.e5",6078200,29454938,2018 Feb 28;,"Rare Cell Detection by Single-Cell RNA Sequencing as Guided by Single-Molecule RNA FISH.",2018,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=29454938&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/29454938' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=6078200&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/29454938' target='_blank'>Cited By, Google</a>",
U54DK107967,"Department of Computer Science and Engineering, Jadavpur University, Kolkata, 700032, India. subhadip@cse.jdvu.ac.in.","Basu, Subhadip; Saha, Punam Kumar; Roszkowska, Matylda; Magnowska, Marta; Baczynska, Ewa; Das, Nirmal; Plewczynski, Dariusz; Wlodarczyk, Jakub","England",2045-2322,"1","Scientific reports.","Sci Rep",8,eng,"3545",5825014,29476060,2018 Feb 23;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5825014/' target='_blank'>Quantitative 3-D morphometric analysis of individual dendritic spines.</a>",2018,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=29476060&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/29476060' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5825014&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/29476060' target='_blank'>Cited By, Google</a>",
U01EB021230,"University of California Davis, School of Medicine, Department of Biochemistry and Molecular Medicine, Davis, California, USA.","Patriarchi, Tommaso; Shen, Ao; He, Wei; Baikoghli, Mo; Cheng, R Holland; Xiang, Yang K; Coleman, Matthew A; Tian, Lin","England",2045-2322,"1","Scientific reports.","Sci Rep",8,eng,"3556",5824837,29476125,2018 Feb 23;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5824837/' target='_blank'>Nanodelivery of a functional membrane receptor to manipulate cellular phenotype.</a>",2018,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=29476125&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/29476125' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5824837&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/29476125' target='_blank'>Cited By, Google</a>",
U54DK107977,"Ludwig Institute for Cancer Research, 9500 Gilman Dr., La Jolla, CA 92093, USA.","Yan, Jian; Chen, Shi-An A; Local, Andrea; Liu, Tristin; Qiu, Yunjiang; Dorighi, Kristel M; Preissl, Sebastian; Rivera, Chloe M; Wang, Chaochen; Ye, Zhen; Ge, Kai; Hu, Ming; Wysocka, Joanna; Ren, Bing","England",1748-7838,"2","Cell research.","Cell Res",28,eng,"204-220",5799818,29313530,2018 Feb;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5799818/' target='_blank'>Histone H3 lysine 4 monomethylation modulates long-range chromatin interactions at enhancers.</a>",2018,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=29313530&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/29313530' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5799818&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/29313530' target='_blank'>Cited By, Google</a>",
U01HL129998,"Department of Bioengineering, University of Pennsylvania, Philadelphia, Pennsylvania, USA.","Norton, Heidi K; Emerson, Daniel J; Huang, Harvey; Kim, Jesi; Titus, Katelyn R; Gu, Shi; Bassett, Danielle S; Phillips-Cremins, Jennifer E","United States",1548-7105,"2","Nature methods.","Nat Methods",15,eng,"119-122",6029251,29334377,2018 Feb;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6029251/' target='_blank'>Detecting hierarchical genome folding with network modularity.</a>",2018,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=29334377&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/29334377' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=6029251&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/29334377' target='_blank'>Cited By, Google</a>",
U01DA040612,"Department of Stem Cell and Regenerative Biology, Harvard University, Cambridge, MA, USA. philippmaass@fas.harvard.edu.","Maass, Philipp G; Barutcu, A Rasim; Shechner, David M; Weiner, Catherine L; Melé, Marta; Rinn, John L","United States",1545-9985,"2","Nature structural & molecular biology.","Nat Struct Mol Biol",25,eng,"176-184",5805655,29343869,2018 Feb;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5805655/' target='_blank'>Spatiotemporal allele organization by allele-specific CRISPR live-cell imaging (SNP-CLING).</a>",2018,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=29343869&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/29343869' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5805655&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/29343869' target='_blank'>Cited By, Google</a>",
U54DK107980,"Department of Physics and Astronomy, Northwestern University, Evanston, Illinois 60208, USA.","Brahmachari, Sumitabha; Dittmore, Andrew; Takagi, Yasuharu; Neuman, Keir C; Marko, John F","United States",2470-0053,"2-1","Physical review. E.","Phys Rev E",97,eng,"022416",5940003,29548184,2018 Feb;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5940003/' target='_blank'>Defect-facilitated buckling in supercoiled double-helix DNA.</a>",2018,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=29548184&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/29548184' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5940003&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/29548184' target='_blank'>Cited By, Google</a>",
